gif,command
https://tenor.com/view/will-ferrell-old-milwaukee-beer-drink-party-gif-22890849,.play https://open.spotify.com/playlist/37i9dQZF1DXauOWFg72pbl?si=f3bcf7d855274a61
https://tenor.com/view/shaq-hot-wings-funny-hot-ones-amazed-gif-13764382,.play https://open.spotify.com/playlist/37i9dQZF1DXauOWFg72pbl?si=f3bcf7d855274a61
https://gfycat.com/astonishingshrillcopperhead,.clear
https://tenor.com/view/bunker-kermit-gif-18600125,.play https://open.spotify.com/playlist/37i9dQZF1DX6J5NfMJS675?si=eae16ed64f4b4340
https://tenor.com/view/friday-drift-kombi-roadtrip-slide-gif-20283068,.play https://open.spotify.com/playlist/37i9dQZF1DWWiDhnQ2IIru?si=91ef6585d7e54b2a
https://tenor.com/view/jinx-jinx-arcane-arcane-lol-league-of-legends-gif-23798559,.play https://open.spotify.com/playlist/7a5vVyYFPXIlE2q1LchCK1?si=713ff14a1f3c489e
